sample_id,elapsed_s,raw_stats
21,21,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (5 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 205/202/83/59, dlsch_errors 58, pucch0_DTX 293, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 242925|UE 1234: ulsch_rounds 177/176/98/98, ulsch_DTX 233, ulsch_errors 97, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 204081, ulsch_total_bytes_received 91087|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX|||
22,22,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (7 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 211/208/84/59, dlsch_errors 58, pucch0_DTX 295, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 250035|UE 1234: ulsch_rounds 181/181/100/100, ulsch_DTX 233, ulsch_errors 98, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 208693, ulsch_total_bytes_received 94546|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX||
23,23,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (8 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 217/214/84/59, dlsch_errors 58, pucch0_DTX 295, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 257145|UE 1234: ulsch_rounds 186/186/101/101, ulsch_DTX 233, ulsch_errors 100, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 214458, ulsch_total_bytes_received 99158|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 104 bytes RX||
24,24,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (10 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 222/219/85/59, dlsch_errors 58, pucch0_DTX 299, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 263070|UE 1234: ulsch_rounds 190/190/103/102, ulsch_DTX 233, ulsch_errors 101, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 219070, ulsch_total_bytes_received 101464|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
25,25,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 227/224/85/59, dlsch_errors 58, pucch0_DTX 299, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 268995|UE 1234: ulsch_rounds 194/193/104/104, ulsch_DTX 233, ulsch_errors 103, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 223682, ulsch_total_bytes_received 103770|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
26,26,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 231/229/87/59, dlsch_errors 58, pucch0_DTX 301, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 273735|UE 1234: ulsch_rounds 198/198/105/105, ulsch_DTX 233, ulsch_errors 104, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 228294, ulsch_total_bytes_received 107229|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
27,27,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (14 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 236/233/88/59, dlsch_errors 58, pucch0_DTX 302, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 279660|UE 1234: ulsch_rounds 202/202/106/106, ulsch_DTX 233, ulsch_errors 105, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 232906, ulsch_total_bytes_received 110688|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
28,28,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (15 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 242/238/88/59, dlsch_errors 58, pucch0_DTX 304, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 286770|UE 1234: ulsch_rounds 206/205/108/108, ulsch_DTX 233, ulsch_errors 107, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 237518, ulsch_total_bytes_received 112994|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
29,29,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (16 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 247/243/89/59, dlsch_errors 58, pucch0_DTX 305, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 292695|UE 1234: ulsch_rounds 210/210/109/109, ulsch_DTX 233, ulsch_errors 108, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 242130, ulsch_total_bytes_received 117606|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
30,30,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (1 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 250/247/90/59, dlsch_errors 58, pucch0_DTX 306, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 296250|UE 1234: ulsch_rounds 213/213/110/110, ulsch_DTX 233, ulsch_errors 109, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 245589, ulsch_total_bytes_received 118759|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
31,31,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (2 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 253/250/91/59, dlsch_errors 58, pucch0_DTX 308, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 299805|UE 1234: ulsch_rounds 216/215/111/111, ulsch_DTX 233, ulsch_errors 110, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 249048, ulsch_total_bytes_received 121065|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
32,32,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 256/252/92/59, dlsch_errors 58, pucch0_DTX 309, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 303360|UE 1234: ulsch_rounds 218/217/112/112, ulsch_DTX 233, ulsch_errors 111, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 251354, ulsch_total_bytes_received 122218|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
33,33,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 259/256/94/60, dlsch_errors 58, pucch0_DTX 313, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 306915|UE 1234: ulsch_rounds 221/221/113/113, ulsch_DTX 233, ulsch_errors 112, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 254813, ulsch_total_bytes_received 125677|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
34,34,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (5 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 264/260/96/60, dlsch_errors 58, pucch0_DTX 315, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 312840|UE 1234: ulsch_rounds 226/226/114/114, ulsch_DTX 233, ulsch_errors 113, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 260578, ulsch_total_bytes_received 129136|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
35,35,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -45 (7 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 269/265/97/60, dlsch_errors 58, pucch0_DTX 316, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 318765|UE 1234: ulsch_rounds 230/229/116/116, ulsch_DTX 233, ulsch_errors 115, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 265190, ulsch_total_bytes_received 131442|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX|||
