sample_id,elapsed_s,raw_stats
21,21,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1772/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2099820|UE 1234: ulsch_rounds 1207/274/274/196, ulsch_DTX 237, ulsch_errors 102, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1371127, ulsch_total_bytes_received 1272912|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
22,22,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1835/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2174475|UE 1234: ulsch_rounds 1246/282/282/204, ulsch_DTX 237, ulsch_errors 102, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1415326, ulsch_total_bytes_received 1317879|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 156 bytes RX||
23,23,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1898/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2249130|UE 1234: ulsch_rounds 1288/290/290/209, ulsch_DTX 237, ulsch_errors 103, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1462984, ulsch_total_bytes_received 1365152|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX|||
24,24,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 1961/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2323785|UE 1234: ulsch_rounds 1331/298/298/213, ulsch_DTX 237, ulsch_errors 104, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1511795, ulsch_total_bytes_received 1413578|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX||
25,25,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2024/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2398440|UE 1234: ulsch_rounds 1371/306/306/220, ulsch_DTX 237, ulsch_errors 105, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1557147, ulsch_total_bytes_received 1458545|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX|||
26,26,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (12 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2087/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2473095|UE 1234: ulsch_rounds 1414/314/314/224, ulsch_DTX 237, ulsch_errors 107, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1605958, ulsch_total_bytes_received 1505818|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX||
27,27,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (4 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2150/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2547750|UE 1234: ulsch_rounds 1456/322/321/230, ulsch_DTX 237, ulsch_errors 111, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1653616, ulsch_total_bytes_received 1549632|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX|||
28,28,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2213/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2622405|UE 1234: ulsch_rounds 1500/329/329/234, ulsch_DTX 237, ulsch_errors 112, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1703580, ulsch_total_bytes_received 1599211|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX||
29,29,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (3 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2276/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2697060|UE 1234: ulsch_rounds 1540/337/337/241, ulsch_DTX 237, ulsch_errors 112, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1749028, ulsch_total_bytes_received 1645331|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX|||
30,30,UE RNTI 1234 (1) PH 0 dB PCMAX 0 dBm, average RSRP -44 (11 meas)|UE 1234: UL-RI 1, TPMI 0|UE 1234: dlsch_rounds 2339/60/60/59, dlsch_errors 59, pucch0_DTX 237, BLER 0.00000 MCS 9|UE 1234: dlsch_total_bytes 2771715|UE 1234: ulsch_rounds 1582/345/345/246, ulsch_DTX 237, ulsch_errors 113, BLER 0.00000 MCS 9|UE 1234: ulsch_total_bytes_scheduled 1796686, ulsch_total_bytes_received 1692604|UE 1234: LCID 4: 208 bytes TX|UE 1234: LCID 4: 208 bytes RX||
